ts,exit_ts,symbol,exchange,tf,predictor,session,direction,entry_price,sl,tp1,risk_price,outcome_2r,hit_2r,planned_rr,duration_min,return_pct,mfe_r,mae_r,exit_reason,review_bucket,setup,trend_strength,consolidation_state,shock_alignment,compression_state,base_net_r,stress_net_r,notes_hint
2025-07-09 12:00:00+00:00,2025-07-09 14:30:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,long,109388.01,108823.07,110517.88999999997,564.9399999999878,-1.3872553191489445,False,2.0,150.0,-0.2774510638297889,0.6750805395263443,-1.566555740432637,stop,accepted_trade,context_change,transition,transition,no_shock,expanded,-1.1161765957446834,-1.3872553191489445,Full accepted trade. setup=context_change; session=ny; context=transition/transition/no_shock; stressR=-1.39.
2025-07-11 12:00:00+00:00,2025-07-11 13:30:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,long,118235.01,117583.16,119538.70999999998,651.8499999999913,-1.3627675385441484,False,2.0,90.0,-0.2725535077088297,1.5340952687448585e-05,-1.4751246452404856,stop,accepted_trade,context_change,trend,directional,no_shock,normal,-1.1088302615632446,-1.3627675385441484,Full accepted trade. setup=context_change; session=ny; context=trend/directional/no_shock; stressR=-1.36.
2025-07-18 00:30:00+00:00,2025-07-18 08:30:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,long,119741.14,119020.48,121182.46,720.6600000000035,-1.332309660588903,False,2.0,480.0,-0.26646193211778063,1.4980295839924538,-1.8679266228179625,stop,accepted_trade,context_change,transition,transition,no_shock,normal,-1.099692898176671,-1.332309660588903,Full accepted trade. setup=context_change; session=asia; context=transition/transition/no_shock; stressR=-1.33.
2025-08-01 09:45:00+00:00,2025-08-01 13:00:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,london,short,114938.67,115916.43,112983.15000000001,977.7599999999948,-1.2351060996563588,False,2.0,195.0,-0.24702121993127177,0.3439187530682436,-1.1052098674521462,stop,accepted_trade,context_change,strong_trend,directional,no_shock,normal,-1.0705318298969075,-1.2351060996563588,Full accepted trade. setup=context_change; session=london; context=strong_trend/directional/no_shock; stressR=-1.24.
2025-08-01 16:45:00+00:00,2025-08-01 19:00:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,short,115015.6,115695.52,113655.76000000001,679.9199999999983,1.6616790210613004,True,2.0,135.0,0.33233580421226006,2.051123661607262,-0.11961701376630693,target,accepted_trade,context_change,weak_or_range,range,no_shock,normal,1.89850370631839,1.6616790210613004,Full accepted trade. setup=context_change; session=ny; context=weak_or_range/range/no_shock; stressR=1.66.
2025-08-20 01:15:00+00:00,2025-08-20 03:15:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,112944.8,113552.03,111730.34000000001,607.2299999999959,-1.3720000658729008,False,2.0,120.0,-0.2744000131745802,0.6237998781351558,-1.094988719266189,stop,accepted_trade,context_change,transition,transition,no_shock,normal,-1.1116000197618703,-1.3720000658729008,Full accepted trade. setup=context_change; session=asia; context=transition/transition/no_shock; stressR=-1.37.
2025-08-26 16:00:00+00:00,2025-08-26 18:30:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,short,109509.45,110552.86,107422.62999999999,1043.4100000000035,-1.209906843906038,False,2.0,150.0,-0.24198136878120763,0.05697664388878475,-1.4190011596591952,stop,accepted_trade,context_change,weak_or_range,range,no_shock,normal,-1.0629720531718114,-1.209906843906038,Full accepted trade. setup=context_change; session=ny; context=weak_or_range/range/no_shock; stressR=-1.21.
2025-09-25 16:15:00+00:00,2025-09-25 17:30:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,short,111116.0,111854.12,109639.76000000001,738.1199999999953,1.6989215845661934,True,2.0,75.0,0.3397843169132387,2.3599685687964196,-0.2290413482902492,target,accepted_trade,context_change,transition,range_to_trend_transition,no_shock,normal,1.909676475369858,1.6989215845661934,Full accepted trade. setup=context_change; session=ny; context=transition/range_to_trend_transition/no_shock; stressR=1.70.
2025-10-06 00:00:00+00:00,2025-10-06 13:15:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,long,123514.0,122856.05,124829.9,657.9499999999971,1.624548977885856,True,2.0,795.0,0.3249097955771712,2.143095979937699,-0.6535451022114172,target,accepted_trade,context_change,trend,directional,no_shock,expanded,1.8873646933657569,1.624548977885856,Full accepted trade. setup=context_change; session=asia; context=trend/directional/no_shock; stressR=1.62.
2025-10-11 00:00:00+00:00,2025-10-12 00:00:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,112344.76,113973.0,102000.0,1628.2400000000052,-0.13799533238343198,False,6.353338574165947,1440.0,-0.027599066476686394,1.7093118950523198,-0.6004213138112326,expiry,accepted_trade,context_change,strong_trend,directional,no_shock,expanded,-0.041398599715029585,-0.13799533238343198,Full accepted trade. setup=context_change; session=asia; context=strong_trend/directional/no_shock; stressR=-0.14.
2025-10-12 02:30:00+00:00,2025-10-12 03:00:00+00:00,BTCUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,110243.85,111291.61,108148.33000000002,1047.7599999999948,-1.2104372184469736,False,2.0,30.0,-0.24208744368939472,0.6145014125372309,-1.0730415362296701,stop,accepted_trade,context_change,trend,directional,no_shock,normal,-1.063131165534092,-1.2104372184469736,Full accepted trade. setup=context_change; session=asia; context=trend/directional/no_shock; stressR=-1.21.
